Name,Political Affiliation at Appointment,Province / Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason,diff_days,observed
"Jaffer, Mobina S.B.",Liberal Party of Canada,British Columbia,"Chrétien, Joseph Jacques Jean",2001.06.13 -,2001-06-13 00:00:00,2013-10-01 22:20:10.165196,,4493,False
"Jaffray, Robert",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1906.03.08 - 1914.12.16  (Death),1906-03-08 00:00:00,1914-12-16 00:00:00,Death,3205,True
"Jessiman, Duncan James",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian",1993.05.26 - 1998.06.05  (Retirement),1993-05-26 00:00:00,1998-06-05 00:00:00,Retirement,1836,True
"Jodoin, Marianna Beauchamp",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.05.19 - 1966.06.01  (Resignation),1953-05-19 00:00:00,1966-06-01 00:00:00,Resignation,4761,True
"Johnson, Janis G.",Progressive Conservative Party,Western Provinces (Division),"Mulroney, Martin Brian",1990.09.27 -,1990-09-27 00:00:00,2013-10-01 22:20:10.165196,,8405,False
"Johnston, John Frederick",Liberal Party of Canada,Saskatchewan,"King, William Lyon Mackenzie",1943.10.05 - 1948.05.09  (Death),1943-10-05 00:00:00,1948-05-09 00:00:00,Death,1678,True
"Johnstone, Archibald Hynd",Liberal Party of Canada,Prince Edward Island,"Chrétien, Joseph Jacques Jean",1998.03.06 - 1999.06.12  (Retirement),1998-03-06 00:00:00,1999-06-12 00:00:00,Retirement,463,True
"Jones, George Burpee",Conservative (1867-1942),New Brunswick,"Bennett, Richard Bedford",1935.07.20 - 1950.04.27  (Death),1935-07-20 00:00:00,1950-04-27 00:00:00,Death,5395,True
"Jones, John Walter",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1953.05.19 - 1954.03.31  (Death),1953-05-19 00:00:00,1954-03-31 00:00:00,Death,316,True
"Jones, Lyman Melvin",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.01.21 - 1917.04.15  (Death),1901-01-21 00:00:00,1917-04-15 00:00:00,Death,5928,True
"Joyal, Serge",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",1997.11.26 -,1997-11-26 00:00:00,2013-10-01 22:20:10.165196,,5788,False
"Kaulback, Henry Adolphus Newman",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1872.03.27 - 1896.01.08  (Death),1872-03-27 00:00:00,1896-01-08 00:00:00,Death,8687,True
"Kelleher, James Francis",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1990.09.23 - 2005.10.02  (Retirement),1990-09-23 00:00:00,2005-10-02 00:00:00,Retirement,5488,True
"Kelly, William M.",Progressive Conservative Party,Ontario,"Trudeau, Pierre Elliott",1982.12.23 - 2000.07.21  (Retirement),1982-12-23 00:00:00,2000-07-21 00:00:00,Retirement,6420,True
"Kemp, Albert Edward",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.04 - 1929.08.12  (Death),1921-11-04 00:00:00,1929-08-12 00:00:00,Death,2838,True
"Kennedy, Betty",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",2000.06.20 - 2001.01.04  (Retirement),2000-06-20 00:00:00,2001-01-04 00:00:00,Retirement,198,True
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 -,1984-06-29 00:00:00,2013-10-01 22:20:10.165196,,10686,False
"Kenny, Edward",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1876.04.11  (Resignation),1867-10-23 00:00:00,1876-04-11 00:00:00,Resignation,3093,True
"Keon, Wilbert Joseph",Progressive Conservative Party,Ontario (Division),"Mulroney, Martin Brian",1990.09.27 - 2010.05.17  (Retirement),1990-09-27 00:00:00,2010-05-17 00:00:00,Retirement,7172,True
"Kerr, James Kirkpatrick",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1903.03.12 - 1916.12.04  (Death),1903-03-12 00:00:00,1916-12-04 00:00:00,Death,5016,True
"Kerr, William",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1899.03.15 - 1906.11.22  (Death),1899-03-15 00:00:00,1906-11-22 00:00:00,Death,2808,True
"Kickham, Thomas Joseph",Liberal Party of Canada,Prince Edward Island,"Pearson, Lester Bowles",1966.07.08 - 1974.12.01  (Death),1966-07-08 00:00:00,1974-12-01 00:00:00,Death,3068,True
"King, George Gerald",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1896.12.18 - 1928.04.28  (Death),1896-12-18 00:00:00,1928-04-28 00:00:00,Death,11453,True
"King, James Horace",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1930.06.07 - 1955.07.14  (Death),1930-06-07 00:00:00,1955-07-14 00:00:00,Death,9168,True
"Kinley, John James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1971.06.12  (Resignation),1945-04-18 00:00:00,1971-06-12 00:00:00,Resignation,9551,True
"Kinnear, Mary Elizabeth",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1973.04.03  (Retirement),1967-04-06 00:00:00,1973-04-03 00:00:00,Retirement,2189,True
"Kinsella, Noël A.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1990.09.12 -,1990-09-12 00:00:00,2013-10-01 22:20:10.165196,,8420,False
"Kirby, Michael J.L.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 2006.10.31  (Resignation),1984-01-13 00:00:00,2006-10-31 00:00:00,Resignation,8327,True
"Kirchhoffer, John Nesbitt",Conservative (1867-1942),Manitoba,"Thompson, John Sparrow David",1892.12.16 - 1914.12.22  (Death),1892-12-16 00:00:00,1914-12-22 00:00:00,Death,8040,True
"Kochhar, Vim",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.01.29 - 2011.09.21  (Retirement),2010-01-29 00:00:00,2011-09-21 00:00:00,Retirement,600,True
"Kolber, Ernest Leo",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.12.23 - 2004.01.18  (Retirement),1983-12-23 00:00:00,2004-01-18 00:00:00,Retirement,7331,True
"Kroft, Richard H.",Liberal Party of Canada,Manitoba,"Chrétien, Joseph Jacques Jean",1998.06.11 - 2004.09.24  (Resignation),1998-06-11 00:00:00,2004-09-24 00:00:00,Resignation,2297,True
"Lacasse, Joseph-Henri-Gustave",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1953.01.18  (Death),1928-01-10 00:00:00,1953-01-18 00:00:00,Death,9140,True
"Lacoste, Alexandre",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1884.01.11 - 1891.09.15  (Resignation),1884-01-11 00:00:00,1891-09-15 00:00:00,Resignation,2804,True
"Lacoste, Louis",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1878.11.26  (Death),1867-10-23 00:00:00,1878-11-26 00:00:00,Death,4052,True
"Laflamme, Napoléon Kemner",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1927.12.21 - 1929.08.10  (Death),1927-12-21 00:00:00,1929-08-10 00:00:00,Death,598,True
"Lafond, Paul C.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1970.10.07 - 1988.05.27  (Death),1970-10-07 00:00:00,1988-05-27 00:00:00,Death,6442,True
"Laing, Arthur",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1972.09.01 - 1975.02.13  (Death),1972-09-01 00:00:00,1975-02-13 00:00:00,Death,895,True
"Laird, Henry Willoughby",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.01.31 - 1940.09.30  (Death),1917-01-31 00:00:00,1940-09-30 00:00:00,Death,8643,True
"Laird, John Keith McBroom",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1982.01.12  (Retirement),1967-04-06 00:00:00,1982-01-12 00:00:00,Retirement,5395,True
"Lambert, Norman Platt",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1965.11.04  (Death),1938-01-20 00:00:00,1965-11-04 00:00:00,Death,10150,True
"Lamontagne, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1967.04.06 - 1983.06.12  (Death),1967-04-06 00:00:00,1983-06-12 00:00:00,Death,5911,True
"Landerkin, George",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.02.16 - 1903.10.04  (Death),1901-02-16 00:00:00,1903-10-04 00:00:00,Death,960,True
"Landry, Auguste-Charles-Philippe-Robert",Conservative (1867-1942),Quebec,"Abbott, John Joseph Caldwell",1892.02.23 - 1919.12.20  (Death),1892-02-23 00:00:00,1919-12-20 00:00:00,Death,10161,True
"Landry, Joseph Gérard Lauri P.",Liberal Party of Canada,New Brunswick,"Chrétien, Joseph Jacques Jean",1996.02.26 - 1997.06.19  (Retirement),1996-02-26 00:00:00,1997-06-19 00:00:00,Retirement,479,True
"Lang, Daniel",Conservative Party of Canada,Yukon,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
"Lang, Daniel Aiken",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13  (Resignation),1964-02-14 00:00:00,1994-06-13 00:00:00,Resignation,11077,True
"Langlois, J. G. Léopold",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1988.10.02  (Retirement),1966-07-08 00:00:00,1988-10-02 00:00:00,Retirement,8122,True
"LaPierre, Laurier L.",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",2001.06.13 - 2004.11.21  (Retirement),2001-06-13 00:00:00,2004-11-21 00:00:00,Retirement,1257,True
"Lapointe, Jean",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",2001.06.13 - 2010.12.06  (Retirement),2001-06-13 00:00:00,2010-12-06 00:00:00,Retirement,3463,True
"Lapointe, Louise Marguerite Renaude",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.10 - 1987.01.03  (Retirement),1971-11-10 00:00:00,1987-01-03 00:00:00,Retirement,5533,True
"LaRivière, Alphonse Alfred Clément",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1911.10.23 - 1917.09.01  (Resignation),1911-10-23 00:00:00,1917-09-01 00:00:00,Resignation,2140,True
"Lavergne, Louis",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1910.10.13 - 1930.01.01  (Resignation),1910-10-13 00:00:00,1930-01-01 00:00:00,Resignation,7020,True
"Lavigne, Raymond",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",2002.03.26 - 2011.03.21  (Resignation),2002-03-26 00:00:00,2011-03-21 00:00:00,Resignation,3282,True
"Lavoie-Roux, Thérèse",Progressive Conservative Party,Quebec (Division),"Mulroney, Martin Brian",1990.09.27 - 2001.03.12  (Resignation),1990-09-27 00:00:00,2001-03-12 00:00:00,Resignation,3819,True
"Lawson, Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24  (Retirement),1970-10-07 00:00:00,2004-09-24 00:00:00,Retirement,12406,True
"Le Moyne, Jean",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1982.12.23 - 1988.02.17  (Retirement),1982-12-23 00:00:00,1988-02-17 00:00:00,Retirement,1882,True
"Leblanc, Fernand-E.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.27 - 1992.07.01  (Retirement),1979-03-27 00:00:00,1992-07-01 00:00:00,Retirement,4845,True
"LeBlanc, Roméo",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1984.06.29 - 1994.11.21  (Resignation),1984-06-29 00:00:00,1994-11-21 00:00:00,Resignation,3797,True
"LeBreton, Marjory",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1993.06.18 -,1993-06-18 00:00:00,2013-10-01 22:20:10.165196,,7410,False
"Lefebvre, Thomas",Liberal Party of Canada,Quebec,"Turner, John Napier",1984.07.09 - 1992.11.20  (Death),1984-07-09 00:00:00,1992-11-20 00:00:00,Death,3056,True
"Lefrançois, J.-Eugène",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.04.25 - 1976.11.05  (Resignation),1957-04-25 00:00:00,1976-11-05 00:00:00,Resignation,7134,True
"Léger, Antoine Joseph",Conservative (1867-1942),New Brunswick,"Bennett, Richard Bedford",1935.08.14 - 1950.04.07  (Death),1935-08-14 00:00:00,1950-04-07 00:00:00,Death,5350,True
"Léger, Aurel D.",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.06.12 - 1961.12.28  (Death),1953-06-12 00:00:00,1961-12-28 00:00:00,Death,3121,True
"Léger, Viola",Liberal Party of Canada,New Brunswick,"Chrétien, Joseph Jacques Jean",2001.06.13 - 2005.06.29  (Retirement),2001-06-13 00:00:00,2005-06-29 00:00:00,Retirement,1477,True
"Legris, Joseph Hormisdas",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.02.10 - 1932.03.06  (Death),1903-02-10 00:00:00,1932-03-06 00:00:00,Death,10617,True
"Lemieux, Rodolphe",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1937.09.28  (Death),1930-06-03 00:00:00,1937-09-28 00:00:00,Death,2674,True
"Leonard, Elijah",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1891.05.14  (Death),1867-10-23 00:00:00,1891-05-14 00:00:00,Death,8604,True
"Leonard, Thomas D'Arcy",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1970.04.29  (Resignation),1955-07-28 00:00:00,1970-04-29 00:00:00,Resignation,5389,True
"Lesage, Joseph Arthur",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1950.03.09  (Death),1944-03-03 00:00:00,1950-03-09 00:00:00,Death,2197,True
"Leslie, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1873.12.06  (Death),1867-10-23 00:00:00,1873-12-06 00:00:00,Death,2236,True
"L'Espérance, David Ovide",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.26 - 1941.08.31  (Death),1917-07-26 00:00:00,1941-08-31 00:00:00,Death,8802,True
"Lessard, Prosper-Edmond",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1931.04.11  (Death),1925-09-05 00:00:00,1931-04-11 00:00:00,Death,2044,True
"Letellier de St-Just, Luc",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1876.12.14  (Resignation),1867-10-23 00:00:00,1876-12-14 00:00:00,Resignation,3340,True
"Lewin, James Davies",Liberal Party of Canada,New Brunswick,"Mackenzie, Alexander",1876.11.10 - 1900.03.11  (Death),1876-11-10 00:00:00,1900-03-11 00:00:00,Death,8521,True
"Lewis, John",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.05.18  (Death),1925-09-05 00:00:00,1935-05-18 00:00:00,Death,3542,True
"Lewis, Philip Derek",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1999.11.28  (Retirement),1978-03-23 00:00:00,1999-11-28 00:00:00,Retirement,7920,True
"Little, Edgar Sydney",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1943.12.22  (Death),1928-01-10 00:00:00,1943-12-22 00:00:00,Death,5825,True
"Locke, John",Liberal Party of Canada,Nova Scotia,Royal Proclamation,1867.10.23 - 1873.12.12  (Death),1867-10-23 00:00:00,1873-12-12 00:00:00,Death,2242,True
"Logan, Hance James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1929.02.05 - 1944.12.26  (Death),1929-02-05 00:00:00,1944-12-26 00:00:00,Death,5803,True
"Losier-Cool, Rose-Marie",Liberal Party of Canada,New Brunswick,"Chrétien, Joseph Jacques Jean",1995.03.21 - 2012.06.18  (Retirement),1995-03-21 00:00:00,2012-06-18 00:00:00,Retirement,6299,True
"Lougheed, James Alexander",Liberal-Conservative,Northwest Territories,"Macdonald, John Alexander",1889.12.10 - 1925.11.02  (Death),1889-12-10 00:00:00,1925-11-02 00:00:00,Death,13110,True
"Lovelace Nicholas, Sandra",Liberal Party of Canada,New Brunswick,"Martin, Paul Edgar Philippe",2005.09.21 -,2005-09-21 00:00:00,2013-10-01 22:20:10.165196,,2932,False
"Lovitt, John",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1896.12.18 - 1908.04.13  (Death),1896-12-18 00:00:00,1908-04-13 00:00:00,Death,4133,True
"Lucier, Paul",Liberal Party of Canada,Yukon,"Trudeau, Pierre Elliott",1975.10.23 - 1999.07.23  (Death),1975-10-23 00:00:00,1999-07-23 00:00:00,Death,8674,True
"Lynch-Staunton, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1940.03.19  (Death),1917-01-20 00:00:00,1940-03-19 00:00:00,Death,8459,True
"Lynch-Staunton, John",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1990.09.23 - 2005.06.19  (Retirement),1990-09-23 00:00:00,2005-06-19 00:00:00,Retirement,5383,True
"MacArthur, Creelman",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1943.12.27  (Death),1925-09-05 00:00:00,1943-12-27 00:00:00,Death,6687,True
"MacDonald, Andrew Archibald",Liberal-Conservative,Prince Edward Island,"Macdonald, John Alexander",1891.05.11 - 1912.03.21  (Death),1891-05-11 00:00:00,1912-03-21 00:00:00,Death,7619,True
"MacDonald, Finlay",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1984.12.21 - 1998.01.04  (Retirement),1984-12-21 00:00:00,1998-01-04 00:00:00,Retirement,4762,True
"Macdonald, John",Independent Liberal,Ontario,"Macdonald, John Alexander",1887.11.09 - 1890.02.04  (Death),1887-11-09 00:00:00,1890-02-04 00:00:00,Death,818,True
"Macdonald, John Alexander",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1932.03.02 - 1945.06.11  (Death),1932-03-02 00:00:00,1945-06-11 00:00:00,Death,4849,True
"Macdonald, John Alexander",Conservative (1867-1942),Prince Edward Island,"Bennett, Richard Bedford",1935.07.20 - 1948.11.15  (Death),1935-07-20 00:00:00,1948-11-15 00:00:00,Death,4867,True
"MacDonald, John Joseph",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1958.01.27 - 1971.04.20  (Resignation),1958-01-27 00:00:00,1971-04-20 00:00:00,Resignation,4831,True
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20  (Death),1960-06-24 00:00:00,1997-06-20 00:00:00,Death,13510,True
"MacDonald, Michael L.",Conservative Party of Canada,Nova Scotia,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
"Macdonald, William John",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1915.04.13  (Resignation),1871-12-13 00:00:00,1915-04-13 00:00:00,Resignation,15826,True
"Macdonald, William Ross",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1967.12.22  (Resignation),1953-06-12 00:00:00,1967-12-22 00:00:00,Resignation,5306,True
"Macdonell, Angus Claude",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.08.01 - 1921.01.01  (Resignation),1917-08-01 00:00:00,1921-01-01 00:00:00,Resignation,1249,True
"Macdonell, Archibald Hayes",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.07 - 1939.11.12  (Death),1921-11-07 00:00:00,1939-11-12 00:00:00,Death,6579,True
"MacEachen, Allan Joseph",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.06.29 - 1996.07.06  (Retirement),1984-06-29 00:00:00,1996-07-06 00:00:00,Retirement,4390,True
"Macfarlane, Alexander",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1898.12.14  (Death),1870-10-10 00:00:00,1898-12-14 00:00:00,Death,10292,True
"MacInnes, Donald",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1881.12.24 - 1900.12.02  (Death),1881-12-24 00:00:00,1900-12-02 00:00:00,Death,6917,True
"Mackay, Robert",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1901.01.21 - 1916.12.25  (Death),1901-01-21 00:00:00,1916-12-25 00:00:00,Death,5817,True
"MacKeen, David",Conservative (1867-1942),Nova Scotia,"Bowell, Mackenzie",1896.02.21 - 1915.10.15  (Resignation),1896-02-21 00:00:00,1915-10-15 00:00:00,Resignation,7175,True
"Mackenzie, Ian Alistair",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1948.01.19 - 1949.09.02  (Death),1948-01-19 00:00:00,1949-09-02 00:00:00,Death,592,True
"MacKenzie, Norman Archibald MacRae",Independent Liberal,British Columbia,"Pearson, Lester Bowles",1966.02.24 - 1969.01.05  (Retirement),1966-02-24 00:00:00,1969-01-05 00:00:00,Retirement,1046,True
"MacKinnon, James Angus",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.05.09 - 1958.04.18  (Death),1949-05-09 00:00:00,1958-04-18 00:00:00,Death,3266,True
"MacLennan, Donald",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1940.01.29 - 1953.10.19  (Death),1940-01-29 00:00:00,1953-10-19 00:00:00,Death,5012,True
"Macnaughton, Alan Aylesworth",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1978.07.30  (Retirement),1966-07-08 00:00:00,1978-07-30 00:00:00,Retirement,4405,True
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16  (Death),1867-10-23 00:00:00,1896-08-16 00:00:00,Death,10525,True
"Macquarrie, Heath Nelson",Progressive Conservative Party,Prince Edward Island,"Clark, Charles Joseph",1979.10.03 - 1994.09.18  (Retirement),1979-10-03 00:00:00,1994-09-18 00:00:00,Retirement,5464,True
"MacTavish, Duncan Kenneth",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1963.06.11 - 1963.11.15  (Death),1963-06-11 00:00:00,1963-11-15 00:00:00,Death,157,True
"Maheu, Shirley",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",1996.02.01 - 2006.02.01  (Death),1996-02-01 00:00:00,2006-02-01 00:00:00,Death,3653,True
"Mahovlich, Frank W.",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",1998.06.11 - 2013.01.10  (Retirement),1998-06-11 00:00:00,2013-01-10 00:00:00,Retirement,5327,True
"Malhiot, Charles",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1874.11.09  (Death),1867-10-23 00:00:00,1874-11-09 00:00:00,Death,2574,True
"Maloney, Marian L.",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",1998.06.11 - 1999.08.16  (Retirement),1998-06-11 00:00:00,1999-08-16 00:00:00,Retirement,431,True
"Maltais, Ghislain",Conservative Party of Canada,Quebec,"Harper, Stephen",2012.01.06 -,2012-01-06 00:00:00,2013-10-01 22:20:10.165196,,634,False
"Manning, Ernest Charles",Social Credit Party,Alberta,"Trudeau, Pierre Elliott",1970.10.07 - 1983.09.20  (Retirement),1970-10-07 00:00:00,1983-09-20 00:00:00,Retirement,4731,True
"Manning, Fabian",Conservative Party of Canada,Newfoundland and Labrador,"Harper, Stephen",2011.05.25 -,2011-05-25 00:00:00,2013-10-01 22:20:10.165196,,860,False
"Manning, Fabian",Conservative Party of Canada,Newfoundland and Labrador,"Harper, Stephen",2009.01.02 - 2011.03.28  (Resignation),2009-01-02 00:00:00,2011-03-28 00:00:00,Resignation,815,True
"Marchand, Jean",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.09 - 1983.12.15  (Resignation),1976-12-09 00:00:00,1983-12-15 00:00:00,Resignation,2562,True
"Marchand, Len",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1984.06.29 - 1998.03.01  (Resignation),1984-06-29 00:00:00,1998-03-01 00:00:00,Resignation,4993,True
"Marcotte, Arthur",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1931.07.06 - 1958.08.18  (Death),1931-07-06 00:00:00,1958-08-18 00:00:00,Death,9905,True
"Marsden, Lorna",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.24 - 1992.08.31  (Resignation),1984-01-24 00:00:00,1992-08-31 00:00:00,Resignation,3142,True
"Marshall, Duncan McLean",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1946.01.16  (Death),1938-01-20 00:00:00,1946-01-16 00:00:00,Death,2918,True
"Marshall, Elizabeth",Conservative Party of Canada,Newfoundland and Labrador,"Harper, Stephen",2010.01.29 -,2010-01-29 00:00:00,2013-10-01 22:20:10.165196,,1341,False
"Marshall, Jack",Progressive Conservative Party,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1994.11.26  (Retirement),1978-03-23 00:00:00,1994-11-26 00:00:00,Retirement,6092,True
"Martin, Paul Joseph James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1968.04.20 - 1974.10.30  (Resignation),1968-04-20 00:00:00,1974-10-30 00:00:00,Resignation,2384,True
"Martin, Peter Francis",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.12.05 - 1935.05.02  (Death),1921-12-05 00:00:00,1935-05-02 00:00:00,Death,4896,True
"Martin, Yonah",Conservative Party of Canada,British Columbia,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
"Mason, James",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1918.07.16  (Death),1913-05-26 00:00:00,1918-07-16 00:00:00,Death,1877,True
"Massicotte, Paul J.",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",2003.06.26 -,2003-06-26 00:00:00,2013-10-01 22:20:10.165196,,3750,False
"Masson, Louis-François-Rodrigue",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1882.09.29 - 1887.02.01  (Resignation),1882-09-29 00:00:00,1887-02-01 00:00:00,Resignation,1586,True
"Masson, Louis-François-Rodrigue",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1890.02.03 - 1903.06.11  (Resignation),1890-02-03 00:00:00,1903-06-11 00:00:00,Resignation,4875,True
"Matheson, Roderick",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1873.01.13  (Death),1867-10-23 00:00:00,1873-01-13 00:00:00,Death,1909,True
"McCall, Alexander",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1925.06.10  (Death),1913-05-26 00:00:00,1925-06-10 00:00:00,Death,4398,True
"McCallum, Lachlin",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1887.02.04 - 1903.01.13  (Death),1887-02-04 00:00:00,1903-01-13 00:00:00,Death,5821,True
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09  (Resignation),1867-10-23 00:00:00,1896-12-09 00:00:00,Resignation,10640,True
"McCoig, Archibald Blake",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.01.04 - 1927.11.21  (Death),1922-01-04 00:00:00,1927-11-21 00:00:00,Death,2147,True
"McCormick, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.09.21 - 1936.02.21  (Death),1921-09-21 00:00:00,1936-02-21 00:00:00,Death,5266,True
